KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/01/0001
Serial Number	0068

File name	albon_243_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	SteelMeshCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0,5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0,25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0,1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4,59	Standard burette cross-sectional area
A_bur2 [cm²]	0,089	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22,5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0,8	Bottom porous plate height	
L_plate_Top [cm]	0,3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	7/12/2015 10:58:33
Test duration	00:04:45

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6,94
Fitting Parameter b [s-1]	-4,75E-03
Fitting Parameter c [cm]	,2
Fitting Parameter r2 [-]	0,9997
Ks Total [cm/d]	219
Ks Total [m/s]	2,54E-05
Ks Soil [cm/d]	189
Ks Soil [m/s]	2,20E-05
Ks Soil normalized at 10,0 °C [cm/d]	139
Ks Soil normalized at 10,0 °C [m/s]	1,62E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
7/12/2015 10:58:33	515	0,00	6,735	6,735	21,560
7/12/2015 10:58:37	156	3,64	6,627	6,616	21,560
7/12/2015 10:58:40	203	6,69	6,518	6,518	21,560
7/12/2015 10:58:43	250	9,73	6,412	6,422	21,560
7/12/2015 10:58:47	156	13,64	6,301	6,300	21,560
7/12/2015 10:58:50	203	16,69	6,198	6,206	21,560
7/12/2015 10:58:54	109	20,59	6,097	6,089	21,560
7/12/2015 10:58:58	15	24,50	5,988	5,973	21,560
7/12/2015 10:59:01	921	28,41	5,864	5,859	21,560
7/12/2015 10:59:05	828	32,31	5,756	5,748	21,560
7/12/2015 10:59:09	765	36,25	5,645	5,638	21,560
7/12/2015 10:59:15	390	41,88	5,516	5,484	21,550
7/12/2015 10:59:17	578	44,06	5,384	5,425	21,550
7/12/2015 10:59:23	218	49,70	5,268	5,276	21,510
7/12/2015 10:59:27	984	54,47	5,150	5,154	21,510
7/12/2015 10:59:32	750	59,24	5,044	5,034	21,500
7/12/2015 10:59:36	656	63,14	4,938	4,938	21,500
7/12/2015 10:59:41	421	67,91	4,823	4,822	21,500
7/12/2015 10:59:47	906	74,39	4,697	4,670	21,500
7/12/2015 10:59:50	953	77,44	4,595	4,600	21,510
7/12/2015 10:59:55	750	82,24	4,488	4,492	21,510
7/12/2015 11:00:01	406	87,89	4,373	4,368	21,520
7/12/2015 11:00:07	890	94,38	4,249	4,229	21,520
7/12/2015 11:00:11	796	98,28	4,145	4,147	21,530
7/12/2015 11:00:17	453	103,94	4,041	4,032	21,530
7/12/2015 11:00:23	109	109,59	3,920	3,920	21,530
7/12/2015 11:00:29	625	116,11	3,803	3,794	21,530
7/12/2015 11:00:35	281	121,77	3,697	3,688	21,530
7/12/2015 11:00:40	937	127,42	3,597	3,585	21,530
7/12/2015 11:00:46	593	133,08	3,488	3,485	21,530
7/12/2015 11:00:55	718	142,20	3,353	3,329	21,540
7/12/2015 11:01:00	484	146,97	3,203	3,250	21,540
7/12/2015 11:01:10	421	156,91	3,101	3,091	21,540
7/12/2015 11:01:16	906	163,39	3,000	2,991	21,540
7/12/2015 11:01:23	437	169,92	2,899	2,893	21,540
7/12/2015 11:01:30	781	177,27	2,797	2,787	21,530
7/12/2015 11:01:39	875	186,36	2,668	2,661	21,530
7/12/2015 11:01:41	203	187,69	2,542	2,643	21,530
7/12/2015 11:01:55	453	201,94	2,440	2,457	21,530
7/12/2015 11:02:05	406	211,89	2,340	2,334	21,530
7/12/2015 11:02:15	359	221,84	2,219	2,217	21,530
7/12/2015 11:02:24	468	230,95	2,112	2,115	21,530
7/12/2015 11:02:33	562	240,05	2,008	2,017	21,530
7/12/2015 11:02:44	375	250,86	1,900	1,906	21,530
7/12/2015 11:02:55	156	261,64	1,796	1,801	21,520
7/12/2015 11:03:06	781	273,27	1,693	1,693	21,520
7/12/2015 11:03:19	296	285,78	1,588	-99999,000	21,530

